Автор,Название книги,Тип,Год озвучки,Хроно,Сборник,не трогать!!! Только для редактора,Ссылка на работу в Вконтакте
ГОВАРД РОБЕРТ,Тварь на крыше,рассказ,2014,0:25:44,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Тварь на пороге,рассказ,2016,1:25:34,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
БОЛДЫРЕВА НАТАЛЬЯ,Творец,рассказ,2009,0:04:04,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
ДОЛИНГО БОРИС,Творец Апокалипсиса,рассказ,2009,0:39:27,Тёмные аллеи №11,47402888,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Тёмная башня 2. Извлечение троих,роман,2011,15:23:48,,47458351,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Тёмная башня 3. Бесплодные земли,роман,2011,20:54:17,,47458352,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,"Тёмная башня 4,5. Ветер сквозь замочную скважину",роман,2014,10:36:19,,49657327,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Тёмная башня 4. Колдун и кристалл,роман,2013,27:16:32,,47458353,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Тёмная башня 5. Волки Кальи,роман,2016,28:57:59,,51791789,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Тёмная башня 6. Песнь Сюзанны,роман,2017,15:50:17,,47391877,Ссылка на работу в вКонтакте
КУЗЬМИН ПАВЕЛ СВЯТОСЛАВ,Темница (Дневник писателя),рассказ,2008,0:12:43,Тёмные аллеи №04,47402754,Ссылка на работу в вКонтакте
ЖАРКОВ АЛЕКСАНДР,Темнота,рассказ,2008,0:42:36,Тёмные аллеи №02,47402729,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Тенедержцы,стихи,2016,0:01:40,РОБЕРТ ГОВАРД - Стихи,47397835,Ссылка на работу в вКонтакте
КОРОТИЧ МИЛА,Терракотовые сёстры,фрагмент,2013,0:14:32,Проект Миры фрагменты к книгам,47391984,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,"Территория абсурда, или Не ходите дети в армию гулять",рассказ,2019,2:09:43,,53016370,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,"Тише, пожалуйста!",рассказ,2019,0:21:41,,53016370,Ссылка на работу в вКонтакте
МУРАКАМИ ХАРУКИ,Тони Такия,рассказ,2018,0:40:53,Смерть в середине лета,50034017,Ссылка на работу в вКонтакте
ШЭПОТ ТИМ и ПЕТРОВА МАРИНА,Тоннели,рассказ,2015,0:19:19,Тим Шэпот - Рассказы,49940392,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,"Тот,кто хочет выжить",рассказ,2009,1:00:48,Команда скелетов,49866622,Ссылка на работу в вКонтакте
СЫРЦОВА АННА,Точка отсчёта,рассказ,2009,0:24:04,Тёмные аллеи №11,47402888,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Трамвайный лев,рассказ,2015,0:05:17,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
"БЕЙЛИ ДЕЙЛ, БЭЛЛИНГРУД НАТАН",Трещина,рассказ,,0:00:00,Тёмные аллеи 2.3 Аколиты и Ктулху,49828877,Ссылка на работу в вКонтакте
МЕРРИТ АБРАХАМ,Три строчки на старофранцузском,рассказ,2019,0:52:36,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
УИЛЬЯМС ТЭД,Трон из костей дракона,роман,2018,33:37:03,,47401546,Ссылка на работу в вКонтакте
СЫРЦОВА АННА,Трубы архангелов,рассказ,2010,0:28:27,Тёмные аллеи №15,47402963,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Труп (Тело),роман,2012,6:20:40,,47397263,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Туман,повесть,2014,5:40:18,Команда скелетов,49866622,Ссылка на работу в вКонтакте
ХУБЕРАТ МАРЕК,Ты вейнулся Снеогг я знаала…,рассказ,2017,1:21:48,Созвездие Льва 3. Приход ночи (часть 1),47401419,Ссылка на работу в вКонтакте
ДЖЕЙМС М.Р.,"Ты свистни, - тебя не заставлю я ждать...",рассказ,2016,0:49:44,Пять вечеров 2: Призраки,51939372,Ссылка на работу в вКонтакте
ХАБИБУЛИН ЮРИЙ,Тысс,рассказ,2011,0:32:16,Тёмные аллеи №16,47402994,Ссылка на работу в вКонтакте
БИГГЛ-мл ЛЛОЙД,У железной няньки,рассказ,2019,0:47:04,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
ЭЛЛИСОН ХАРЛАН,"У меня нет рта, а я хочу кричать",рассказ,2015,0:44:08,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
МЕЛЬНИК АЛЕКСЕЙ,У могилы Стивена Кинга,рассказ,2012,0:32:04,Тёмные аллеи №21,47403076,Ссылка на работу в вКонтакте
ДЬЯКОВ СЕРГЕЙ,У разбитого корыта,рассказ,2010,0:17:06,Тёмные аллеи №12,47402904,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Убийца,рассказ,2009,0:05:16,Тёмные аллеи №08,47402825,Ссылка на работу в вКонтакте
АЙРИШ УИЛЬЯМ,Убийца поневоле,рассказ,2017,1:25:16,Адамово яблоко,47401517,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,Удивительная история,рассказ,2019,0:21:52,,53016370,Ссылка на работу в вКонтакте
ХАСС ГЕНРИ,Ужас Векры,рассказ,2018,1:14:05,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Ужас Данвича,рассказ,2016,2:32:17,Тёмные аллеи 2.2 Ктулху и аколиты,51789137,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Ужас из кургана,рассказ,2014,0:52:47,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
АЛЁХИН АРТУР,Ужас на пороге,рассказ,2019,0:44:04,,53016370,Ссылка на работу в вКонтакте
КОЖИН ОЛЕГ,Узкая колея нашего детства,рассказ,2017,0:52:47,Тёмные аллеи №23. Russian edition,49839574,Ссылка на работу в вКонтакте
БРЭДБЕРИ РЭЙ,Улыбка,рассказ,2016,0:14:01,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
БАЛТИЙСКАЯ ИННА,Улыбка в зеркале,рассказ,2009,0:17:03,Тёмные аллеи №10,47402860,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Урок,рассказ,2017,0:06:31,Павел К. Диброва - Рассказы,49714485,Ссылка на работу в вКонтакте
ТЕПЛЯКОВ АНДРЕЙ,Уснуть и видеть сны,рассказ,2010,0:17:15,Тёмные аллеи №13,47402919,Ссылка на работу в вКонтакте
сборник,Утренние страницы,разное,2017,2:52:35,Утренние страницы (весна 17),47401571,Ссылка на работу в вКонтакте
сборник,Утренние страницы,разное,2018,2:31:36,Утренние страницы (зима 17-18),49866593,Ссылка на работу в вКонтакте
сборник,Утренние страницы,разное,2017,3:13:05,Утренние страницы (осень 17),50644465,Ссылка на работу в вКонтакте
ДИДЬЕЛОРАН ЖАН-ПОЛЬ,Утренний чтец,роман,2017,3:52:07,,47401453,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,Утренняя доставка (Молочник №1),рассказ,2014,0:14:17,Команда скелетов,49866622,Ссылка на работу в вКонтакте
ЯНСИ РИК,Ученик монстролога (Ученик монстролога 1),роман,2017,12:23:51,,47402658,Ссылка на работу в вКонтакте
БЛОХ РОБЕРТ,Ученик чародея,рассказ,2008,0:33:29,Тёмные аллеи №05,47402761,Ссылка на работу в вКонтакте
МЬЕВИЛЬ ЧАЙНА,Фамильяр,рассказ,2017,0:46:21,Пять вечеров 3: Магия,47401805,Ссылка на работу в вКонтакте
НОЧКИН ВИКТОР,Фейрин и золото,рассказ,2009,0:21:38,Тёмные аллеи №07,47402805,Ссылка на работу в вКонтакте
ПОЛ ФРЕДЕРИК,Ферми и стужа,рассказ,2016,0:48:29,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ДЬЯЧЕНКО НИНА,Фигурка твоей судьбы,рассказ,2010,0:18:05,Южная пристань,47391962,Ссылка на работу в вКонтакте
ФЕДОТОВ АЛЕКСЕЙ,Финальные строчки,рассказ,2008,0:07:47,Тёмные аллеи №03,47402740,Ссылка на работу в вКонтакте
СИММОНС ДЭН,Фотография класса за этот год,рассказ,2018,1:08:24,Манускрипты Аркхэма,47405165,Ссылка на работу в вКонтакте
КВАШНИН ДМИТРИЙ,Фредерик,рассказ,2015,0:31:06,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
БРАУН ФРЕДЕРИК,Хобби,рассказ,2017,0:05:24,Адамово яблоко,47401517,Ссылка на работу в вКонтакте
ДАЛЬ РОАЛЬД,Хозяйка пансиона,рассказ,2015,0:21:57,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
ЛАВКРАФТ ГОВАРД Ф.,Холод (Холодный воздух),рассказ,2011,0:31:15,Тёмные аллеи №17,47403015,Ссылка на работу в вКонтакте
МАЛЫШЕВА СВЕТЛАНА,Хохот,рассказ,2010,0:08:58,Тёмные аллеи №13,47402919,Ссылка на работу в вКонтакте
УДОВИЧЕНКО ДИАНА,Хранитель для Марфы,рассказ,2010,0:39:45,Южная пристань,47391962,Ссылка на работу в вКонтакте
ДОЛИНГО БОРИС,Хранитель Земли,рассказ,2009,0:40:18,Тёмные аллеи №11,47402888,Ссылка на работу в вКонтакте
ЩЕРБА НАТАЛЬЯ,Худеть за других,рассказ,2012,0:21:32,Тёмные аллеи №20,47403059,Ссылка на работу в вКонтакте
СОЛОГУБ ФЁДОР,Царица поцелуев,рассказ,2018,0:19:24,Пять вечеров 4: Одержимость,50095809,Ссылка на работу в вКонтакте
ШЕКЛИ РОБЕРТ,Царская воля,рассказ,2018,0:29:27,ГЛУБИНА погружение 01,49889197,Ссылка на работу в вКонтакте
ДЖЕТ ЭРИ,Цвет феи,рассказ,2010,0:32:52,Тёмные аллеи №12,47402904,Ссылка на работу в вКонтакте
АНДРЕЕВА ЮЛИЯ,Цветочная весть,рассказ,2009,0:02:31,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
МИХАЙЛОВ ВАЛЕРИЙ,Цветущая долина,рассказ,2009,0:03:24,Сказки для больших и маленьких,47392034,Ссылка на работу в вКонтакте
МАКЬЮЭН ИЭН,Цементный сад,роман,2012,4:56:12,,47391936,Ссылка на работу в вКонтакте
ПОДОЛЬСКИЙ АЛЕКСАНДР,Цена одного чуда,рассказ,2009,0:18:18,Тёмные аллеи №09,47402841,Ссылка на работу в вКонтакте
ЦУЦУИ ЯСУТАКА,Цивилизация напоказ,рассказ,2018,0:32:13,Смерть в середине лета,50034017,Ссылка на работу в вКонтакте
КАРЕЛИН АЛЕКСЕЙ,Цифровая трясина,рассказ,2011,0:13:11,Тёмные аллеи №19,47403053,Ссылка на работу в вКонтакте
КОВАЛЬ НИКИТА,Чай и Вода,рассказ,2017,1:22:52,Никита Коваль - Рассказы,47401436,Ссылка на работу в вКонтакте
КЛАРК АРТУР,Часовой,рассказ,2015,0:22:18,Созвездие Льва,50095810,Ссылка на работу в вКонтакте
БУЛДАКОВ ОЛЕГ,Часовой механизм,рассказ,2015,0:03:04,ОЛЕГ БУЛДАКОВ - Трамвайный лев,50316084,Ссылка на работу в вКонтакте
БРАУН ЭРИК,Часовые «Феникса»,рассказ,2016,1:35:15,Созвездие Льва 2. Всадники апокалипсиса,51326204,Ссылка на работу в вКонтакте
ВАН ВОГТ АЛЬФРЕД,Часы времени,рассказ,2019,0:38:31,Созвездие Льва 4,54717929,Ссылка на работу в вКонтакте
ДИБРОВА ПАВЕЛ,Человек,рассказ,2017,0:05:14,Сборник рассказов Лец-тас-ки,47401448,Ссылка на работу в вКонтакте
КРАПИВКО КОНСТАНТИН,Человек,рассказ,2008,0:13:07,Тёмные аллеи №04,47402754,Ссылка на работу в вКонтакте
ЭДОГАВА РАМПО,Человек-кресло,рассказ,2015,0:36:00,Сад опавших листьев,49982920,Ссылка на работу в вКонтакте
КИНГ СТИВЕН,"Человек, который не пожимал рук",рассказ,2015,0:56:26,Команда скелетов,49866622,Ссылка на работу в вКонтакте
САКС ОЛИВЕР,"Человек, который принял жену за шляпу",рассказ,2017,0:27:54,,47397719,Ссылка на работу в вКонтакте
УОДЕЛЛ МАРТИН,Человеческая кожа,рассказ,2015,0:22:00,Тёмные аллеи 2.1 Жестокость,50297043,Ссылка на работу в вКонтакте
КАБИР МАКСИМ,Черви,рассказ,2016,0:22:45,Пять вечеров 2: Призраки,51939372,Ссылка на работу в вКонтакте
ГОВАРД РОБЕРТ,Черви земли,рассказ,2014,1:43:18,Говард Роберт - Сборник рассказов,49155802,Ссылка на работу в вКонтакте
САЙМАК КЛИФФОРД,"Через речку, через лес",рассказ,2018,0:20:41,ГЛУБИНА погружение 05,50056654,Ссылка на работу в вКонтакте
